Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Bugasura Issues),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
"Can use a better display image for ""Artificial Flowers"" in the HomePage under ""New Year Specials"" (meghna)",ZP2-19,10088,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:28 PM,28/Nov/22 12:28 PM,27/Feb/23 1:43 PM,,,0,"Can use a different image containing artificial flowers for ""Artificial Flowers"" in the HomePage under ""New Year Specials for a better user experience. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:28 PM;634e3af41db4d2ebcf611827;0_Artificial_.png;https://meghnasuresh.atlassian.net/secure/attachment/10027/0_Artificial_.png,,,,,,,,,,,,,,,,,,0|i000i7:,,,,,,,,,,,,28/Nov/22 12:28 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427808],,,To Do
Popular picks arrow mark(Nisha),ZP2-18,10087,Bug,In Progress,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:28 PM,27/Feb/23 1:43 PM,,,0,"The arrow mark  icon is not clickable , clicking on it for 3 to 4 time then  it redirects to popular picks page.",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:28 PM;634e3af41db4d2ebcf611827;0_Screenshot_20221125-163822[1].jpg;https://meghnasuresh.atlassian.net/secure/attachment/10026/0_Screenshot_20221125-163822%5B1%5D.jpg,,,,,,,,,,,,,,,,,,0|i000hz:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427760],,,In Progress
"Is the 'Down Arrow' Button next to ""Others"" in the Customer Care Support web page supposed to only point at the below option and not retract when click again? (Meghna)",ZP2-17,10086,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:28 PM,27/Feb/23 1:43 PM,,,0,"Is the 'Down Arrow' Button next to ""Others"" in the Customer Care Support web page supposed to only point at the below option and not retract when clicked again?",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:28 PM;634e3af41db4d2ebcf611827;0_Arrow.png;https://meghnasuresh.atlassian.net/secure/attachment/10025/0_Arrow.png,,,,,,,,,,,,,,,,,,0|i000hr:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427758],,,To Do
"Empty space in the ""Grocery"" Home Page (Meghna)",ZP2-16,10085,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"There is a lot of empty space that can be utilized to fill in more products on the ""Grocery"" Home Page. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Empty_space.png;https://meghnasuresh.atlassian.net/secure/attachment/10024/0_Empty_space.png,,,,,,,,,,,,,,,,,,0|i000hj:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427735],,,To Do
"Not appropriate image and title in the ""Top Offers"" webpage (Meghna)",ZP2-15,10084,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"“Don't miss the extra discount” and the “jewelry” image is not appropriate category for the webpage “TOP OFFERS” as it doesn't match the other categories. 
and also the title “Paisa Wasool Deal” is not an appropriate category for the “Top Offers” page",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Not_appropriate_image_and_title.png;https://meghnasuresh.atlassian.net/secure/attachment/10022/0_Not_appropriate_image_and_title.png,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;Not_appropriate_image_and_title_2.png;https://meghnasuresh.atlassian.net/secure/attachment/10023/Not_appropriate_image_and_title_2.png,,,,,,,,,,,,,,,,,0|i000hb:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427713],,,To Do
Login issues (Nisha),ZP2-14,10083,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,Not able to login through valid mail id . it is only possible through phone number,,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Screenshot_20221125-161202[1].jpg;https://meghnasuresh.atlassian.net/secure/attachment/10020/0_Screenshot_20221125-161202%5B1%5D.jpg,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;1_Screenshot_20221125-161209[1].jpg;https://meghnasuresh.atlassian.net/secure/attachment/10021/1_Screenshot_20221125-161209%5B1%5D.jpg,,,,,,,,,,,,,,,,,0|i000h3:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427701],,,To Do
"The text ""Clearance Offers"" in the 'Home> Appliances' webpage is Too bright to see. (Meghna)",ZP2-13,10082,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"The text ""Clearance Offers"" in the 'Home> Appliances' webpage is Too bright to see. and it is not matching the other Header texts of the same page like “new Launches”, “Top-rated Collections” etc. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_too_bright.png;https://meghnasuresh.atlassian.net/secure/attachment/10019/0_too_bright.png,,,,,,,,,,,,,,,,,,0|i000gv:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427688],,,To Do
"Adding other Social media accounts to the footer under ""Socials"" can help in building backlinks (Meghna)",ZP2-12,10081,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"Adding Instagram and other popular social media accounts to the footer under ""Socials"" can help in building backlinks which helps in SEO and in turn ranking of the website on SERP.  ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Add_instagram.png;https://meghnasuresh.atlassian.net/secure/attachment/10018/0_Add_instagram.png,,,,,,,,,,,,,,,,,,0|i000gn:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427672],,,To Do
Not appropriate image for 'Home Furnishing Range' (Meghna),ZP2-11,10080,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"The display image for the “Home Furnishing range” in the 'Top offers"" webpage can be replaced as it is not appropriate to the title. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Not_appropriate_image.png;https://meghnasuresh.atlassian.net/secure/attachment/10017/0_Not_appropriate_image.png,,,,,,,,,,,,,,,,,,0|i000gf:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427638],,,To Do
"Clicking on ""Help with your issues"" is not redirecting to any part of the page or other web pages. (Meghna)",ZP2-10,10079,Bug,To Do,ZP2,Zephyr Project 2,software,Meghna S,634e3af41db4d2ebcf611827,,Medium,,,,Meghna S,634e3af41db4d2ebcf611827,Meghna S,634e3af41db4d2ebcf611827,28/Nov/22 12:27 PM,28/Nov/22 12:27 PM,27/Feb/23 1:43 PM,,,0,"Clicking on ""Help with your issues"" is not redirecting to any part of the page or other web pages, no matter how many times I refreshed. ",,Meghna S,634e3af41db4d2ebcf611827,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;0_Help_with_your_issues.png;https://meghnasuresh.atlassian.net/secure/attachment/10016/0_Help_with_your_issues.png,,,,,,,,,,,,,,,,,,0|i000g7:,,,,,,,,,,,,28/Nov/22 12:27 PM;634e3af41db4d2ebcf611827;[Bugasura Issue Link|https://my.bugasura.io/testReports/fd2908e4775c13e9741671f85de789b1/95795?testResultsId=427627],,,To Do
